Timestamp,Total_CPU_%,Total_RAM_%,Free_RAM_%,PID,Process_Name,CPU_Usage_%,CPU_Affinity,CPU_Time_s,Context_Switches,Memory_Usage_%,VMS_MB,User_Priority,Thread_Count,Throttle,Prioritize,Reduce_Switching,Balance_Load,Boost_Parallel,Handle_Burst,Swap_Out,Optimize_Memory,Increase_VMS,Reduce_VMS,Prioritize_RAM
1742757201,82.50411502279768,67.84055653865082,44.91005004385588,25452,WWAHost.exe,308.4419213854247,12,1.953125,2323431,5.879810989920713,859.0939937438053,0,11,1,0,0,0,0,0,0,0,0,0,0
1970-01-01 00:02:36,84.22200001615299,59.56793469279053,33.297728299591526,20154,msedge.exe,396.4904609138218,8,537.8305740782384,2907936,4.425212396496915,834.5478533913863,0,21,1,0,0,0,0,0,0,0,0,0,0
1970-01-01 00:03:28,85.01622345591483,70.7372846236796,34.85612547936918,20206,WinStore.App.exe,384.060604142995,8,1495.995759723228,2764831,5.389550987520203,1021.4527620340996,0,22,1,0,0,0,0,0,0,0,0,0,0
1742757256,76.92844797919372,54.978300477928606,25.388354415539368,1972,taskhostw.exe,512.2990283854737,12,3.28125,2465300,9.85721451957404,1331.389830153805,0,16,1,0,0,0,0,0,0,0,0,0,0
1742757798,77.56804530877069,65.13082304355308,47.24480902110896,33948,EpicWebHelper.exe,470.2325479820505,12,30.640625,1956714,7.891060741360012,409.71668311675614,0,14,1,0,0,0,0,0,0,0,0,0,0
1742757331,77.91389512523214,72.72065037783419,34.026825484530285,23636,audiodg.exe,418.916866586532,12,17381.28125,1863847,5.40997627801964,895.1329394182683,0,12,1,0,0,0,0,0,0,0,0,0,0
1970-01-01 00:02:58,80.45968228168226,53.07059624427811,37.519885173851335,20176,StartMenuExperienceHost.exe,423.0672005360267,8,1082.8186556318378,1776595,9.29996340958992,1228.6047207675165,0,29,1,0,0,0,0,0,0,0,0,0,0
1742757201,82.50411502279768,67.84055653865082,44.91005004385588,25452,WWAHost.exe,308.4419213854247,12,1.953125,2323431,5.879810989920713,859.0939937438053,0,11,1,0,0,0,0,0,0,0,0,0,0
1742757561,83.95710616703339,70.725539961234,44.18281004019349,14388,Taskmgr.exe,362.856097562327,12,179.359375,1916119,4.04733542995359,734.265724893822,0,18,1,0,0,0,0,0,0,0,0,0,0
1742757711,85.7956672531871,70.20276021591684,39.080463088489125,26092,Code.exe,500.075536414944,12,347.984375,1140246,7.354368369879638,1065.6314689934254,0,11,1,0,0,0,0,0,0,0,0,0,0
1742757802,87.83248380009873,75.8145976618366,28.955083647572497,1972,taskhostw.exe,490.718098585083,12,3.28125,1139827,7.6101812602048655,533.7500407248931,0,20,1,0,0,0,0,0,0,0,0,0,0
1970-01-01 00:01:18,85.67154878598973,69.36513920958603,43.84440153746003,20076,Riot Client.exe,586.9115883168885,8,1063.0480153541955,2964571,9.830041558091557,493.55248930474346,0,13,1,0,0,0,0,0,0,0,0,0,0
1742757244,76.68773331110332,72.4054370435517,36.53670471733573,33552,chrome.exe,486.3117963298987,12,4.78125,2301115,3.853041317898683,962.5700386993861,0,10,1,0,0,0,0,0,0,0,0,0,0
1742757333,86.41438879822077,69.12077144099763,34.772412255314165,9340,nvcontainer.exe,502.71127766334337,12,185.921875,1123785,5.09369490135417,559.3486259862657,0,10,1,0,0,0,0,0,0,0,0,0,0
1742757772,80.18803648335944,63.256945696877764,45.45203838331361,22740,Code.exe,466.6031603928962,12,189.71875,2620564,7.716897139088888,1137.393203594274,0,21,1,0,0,0,0,0,0,0,0,0,0
1970-01-01 00:04:49,78.60305939210191,63.45712032703323,40.07004786227824,20287,EpicGamesLauncher.exe,475.83540199238644,8,2368.0500658861333,2510464,7.797983261904163,1267.5404764149257,0,25,1,0,0,0,0,0,0,0,0,0,0
1742757658,77.05000428641503,59.130201751036566,29.61555044311736,15080,NVIDIA Overlay.exe,518.6721408159441,12,737.78125,2213574,8.865609086815056,1363.9922529014473,0,25,1,0,0,0,0,0,0,0,0,0,0
1742757267,80.68870104408806,50.95301592967654,38.451719316194065,20308,Code.exe,452.7403283000298,12,8.25,2907231,6.013138754283772,887.88644627014,0,14,1,0,0,0,0,0,0,0,0,0,0
